,類別,系統帳號,單一職訓機構,職訓機構名稱,管理,技術,主管機關,負責人職稱,負責人,電話,信箱,地址,經緯度
1,依法設立職業訓練機構之非營利法人,9733770006,非單一,中國勞工安全衛生管理學會附設中壢職業訓練中心,甲等,無,桃園市政府,副主任,彭春花,03-4275899,lichtw@cshm.org.tw,桃園市中壢區中正路257號6樓,"24.955077186597848, 121.21940354350845"
2,依法設立職業訓練機構之非營利法人,9733770011,非單一,中國勞工安全衛生管理學會附設台中職業訓練中心,甲等,無,臺中市政府,總務,劉肇文,04-22654040,titi@cshm.org.tw,台中市南區忠明南路789號5樓,"24.123624666538966, 120.66094885453678"
3,依法設立職業訓練機構之非營利法人,9733770001,非單一,中國勞工安全衛生管理學會附設台北職訓中心,甲等,無,臺北市政府,主任,高秋生,02-23218196,winnie.liu@cshm.org.tw,台北市中正區北平東路16號9樓,"25.046210377239785, 121.52445892386645"
4,依法設立職業訓練機構之非營利法人,9733770004,非單一,中國勞工安全衛生管理學會附設花蓮職業訓練中心,優等,無,花蓮縣政府,負責人,劉繼,03-8465186,winnie.liu@cshm.org.tw,花蓮市花蓮市富強路242號,"23.999396213216166, 121.59919401035343"
5,依法設立職業訓練機構之非營利法人,9733770010,非單一,中國勞工安全衛生管理學會附設南科職業訓練中心,甲等,乙等,臺南市政府,主任,葉國興,06-5851056,shi.hwa03.1@gmail.com,台南市善化區大成路291號3樓,"23.129867140482947, 120.29859492753413"
6,依法設立職業訓練機構之非營利法人,9733770005,非單一,中國勞工安全衛生管理學會附設桃園職業訓練中心,甲等,乙等,桃園市政府,秘書長,李國懋,03-3382048,titi@cshm.org.tw,桃園市桃園區大同路11號7樓之1,"24.990581733773357, 121.31506869873526"
7,依法設立職業訓練機構之非營利法人,9733770008,非單一,中國勞工安全衛生管理學會附設高雄職業訓練中心,甲等,無,高雄市政府,秘書長,李國懋,07-2368133,yui0301@cshm.org.tw,高雄市新興區民族二路97號6樓,"22.63277123707012, 120.31312095450771"
8,依法設立職業訓練機構之非營利法人,9733770009,非單一,中國勞工安全衛生管理學會附設嘉義職業訓練中心,甲等,無,嘉義市政府,主任,羅偉誠,05-2340400,yui0301@cshm.org.tw,嘉義市西區中興路127號5樓,"23.482389465670312, 120.43648376801552"
9,依法設立職業訓練機構之非營利法人,2.00921E+11,單一,中華民國安全衛生發展協會附設職業訓練中心,乙等,無,臺北市政府,理事長,林燊生,02-25072677,cssda@ms38.hinet.net,台北市中山區建國北路二段64巷11號,"25.054570141340694, 121.53594849688339"
10,依法設立職業訓練機構之非營利法人,4.14863E+11,單一,中華民國安全衛生職能發展協會附設桃園職業訓練中心,無,甲等,桃園市政府,主任,曾建忠,03-3355762,shoda.box@msa.hinet.net,桃園市桃園區民族路55號5樓,"24.9904061121616, 121.30971552571829"
11,依法設立職業訓練機構之非營利法人,4.88149E+11,單一,中華民國勞工安全衛生教育協會附設北區職業訓練中心,丁等,無,臺北市政府,理事長,郭家,02-25852992,aosh.aosh@msa.hinet.net,台北市中山區撫順街33號3樓,"25.063823523720945, 121.51992185455602"
12,依法設立職業訓練機構之非營利法人,2.56849E+11,單一,中華民國勞工安全衛生管理協會,無,無,臺北市政府,理事長,張煒如,02-33932828,tpf.il33937778@gmail.com,台北市中正區羅斯福路一段28號5樓,"25.031614821599963, 121.51891199688296"
13,依法設立職業訓練機構之非營利法人,7.37626E+11,非單一,中華民國勞動災害防止協會附設台北職業訓練中心,丁等,丙等,新北市政府,職訓中心負責人,黃淑君,02-89731318,wdpa20@hotmail.com,新北市三重區重新路四段98號6樓,"25.057339774275942, 121.4876449527028"
14,依法設立職業訓練機構之非營利法人,7.37626E+11,非單一,中華民國勞動災害防止協會附設高雄職業訓練中心,乙等,丙等,高雄市政府,職訓中心負責人,黃淑君,07-7160202,e80@wdpa.org.tw,高雄市苓雅區中正一路315號4樓,"22.629838453079266, 120.32420822567168"
15,依法設立職業訓練機構之非營利法人,7.37626E+11,非單一,中華民國勞動災害防止協會附設嘉義職業訓練中心,乙等,乙等,嘉義市政府,職訓中心負責人,黃淑君,05-2230830,wdpa60@wdpa.org.tw,嘉義市西區國華街245號7樓之2,"23.479342205799213, 120.44820745452397"
16,依法設立職業訓練機構之非營利法人,8.89149E+11,單一,中華民國勞資事務協會附設屏東職業訓練中心,無,無,屏東縣政府,主任,劉雯婷,08-7346999,pt@rlmaap.com,屏東縣屏東市福建路3-6號4樓,"22.67112563931346, 120.49421539894654"
17,依法設立職業訓練機構之非營利法人,1.45429E+11,單一,社團法人中華民國電力技術證照協會附設職業訓練中心,無,無,嘉義縣政府,主任,林育正,05-3748872,esa.p3369@msa.hinet.net,嘉義縣新港鄉大潭村10之16號,"23.547963732390244, 120.36632023918062"
18,依法設立職業訓練機構之非營利法人,1.47227E+11,單一,中華民國營建事業協進會附設台北職業訓練中心,無,無,臺北市政府,班主任,張博禎,02-27090008,topsafe36@gmail.com,台北市大安區和平東路二段297號7樓,"25.025063237601064, 121.54474059688285"
19,依法設立職業訓練機構之非營利法人,1.35419E+11,非單一,中華民國職業安全衛生協會附設台北職業訓練中心,無,乙等,新北市政府,主任,莊馗宏,02-89858705,twd8985@gmail.com,新北市三重區重陽路一段89號3樓之5,"25.05946995094637, 121.48690425455587"
20,依法設立職業訓練機構之非營利法人,1.35419E+11,非單一,中華民國職業安全衛生協會附設台南職業訓練中心,乙等(僅檔案紀錄),無,臺南市政府,負責人,顏素真,06-2997007,twd.org@msa.hinet.net,台南市安平區永華路二段248號8樓之2,"22.990360629042822, 120.18018372567833"
21,依法設立職業訓練機構之非營利法人,1.35419E+11,非單一,中華民國職業安全衛生協會附設高雄職業訓練中心,甲等,甲等,高雄市政府,主任,劉文源,07-3533111.8016689,ks3533.nz111@msa.hinet.net,高雄市楠梓區楠梓新路393號2樓、高雄市小港區漢民路232號5樓,"22.731827284166847, 120.32793005265643"
22,依法設立職業訓練機構之非營利法人,9.98178E+11,單一,中華電力技術人員培訓協會附設職業訓練中心,無,無,桃園市政府,理事長,蔡憲芳,03-3894657,ecat.ecat@msa.hinet.net,桃園市大溪區員林路二段432號1樓,"24.883645765708735, 121.26686522571609"
23,依法設立職業訓練機構之非營利法人,41799200003,非單一,中華壓力容器協會附設台中職業訓練中心,無,乙等,臺中市政府,副課長,鐘偉誠,04-22025616,china10602@yahoo.com.tw,台中市北區中清路一段372號7樓,"24.16176576800725, 120.67515482384822"
24,依法設立職業訓練機構之非營利法人,41799200001,非單一,中華壓力容器協會附設台南職業訓練中心,無,甲等,臺南市政府,處長,楊禮彬,06-2986139,pva.china@msa.hinet.net,台南市中華西路二段21號3樓之2,"22.987197647680055, 120.18641662382527"
25,依法設立職業訓練機構之非營利法人,41799200002,非單一,中華壓力容器協會附設虎尾職業訓練中心,丙等,乙等,雲林縣政府,高級專員,陳志生,05-6362255,pva.huweio@yahoo.com,雲林縣虎尾鎮信義路67號4樓,"23.710989188163325, 120.43749650360202"
26,依法設立職業訓練機構之非營利法人,41799200007,非單一,中華壓力容器協會附設高雄職業訓練中心,無,乙等,高雄市政府,副課長,陳延菖,07-7435727,pva.lug@msa.hinet.net,高雄市鳳山區經武路58號6樓,"22.63445693690224, 120.36377823916307"
